name,target,source,way_of_connection,connection,way_of_mapping,mapping_strategy,"detail_mapping: Color, Style,Size,Structure,Graphics, Light and Shadow, Function, Interaction/ movement,Texture,Material,Temperatur Sound,Taste,Smell",,,,,,,,
��Firephant�� fire extinguisher,fire extinguisher,elephant,behavioral,The spray of water from an elephant's trunk is like the spray of water from a fire hydrant,vision,the exit of the fire hydrant looks like the trunk of an elephant,form ,,,,,,,,
Luna Rug,rug,Moon,reflective,"The Luna Rug visually resembles the surface of the moon, evoking a sense of mystery and cosmic wonder in the bedroom's users.",vision,"The Luna rug's texture and color gradient resemble the surface of  the moon, evoking a serene and otherworldly atmosphere.",texture & color,,,,,,,,
NS Camera,security camera,Lovable character,visceral,lovely character evokes a friendly and non-threatening presence of camera,vision,The camera's cover looks like a helmet,color,,,,,,,,
Surveillance Chandelier,chandelier,security camera,reflective,The Surveillance Chandelier symbolizes the pervasive presence of surveillance in modern society,vision,The spotlights look like security cameras,texture & color,,,,,,,,
VD 003 Bike Rack,bike rack,car,reflective,"highlight the space efficiency of bicycles compared to cars, promotes the concept of sustainable transportation",vision,The bike rack looks like the outline of a car,color,,,,,,,,
Pianobell Door Bell,Door Bell,Piano Keys,behavioral,Pressing the doorbell keys interacts like playing piano keys,usage,Pressing the doorbell keys interacts like playing piano keys,color & form,,,,,,,,
Awakening Lamp,Lamp,Human,behavioral,The lamp lights up when someone is in the room behaves like a human waking up in response to another person's presence.,usage,The lamp lights up and lies down interacts like a human waking up and sleeping,movement,,,,,,,,
Ctrl+O Bottle Opener,Bottle Opener,Keyboard Shortcut,behavioral,Ctrl+O command opens a document interacts like the bottle opener opens a bottle,vision,the graphic of bottle opener looks like Ctrl+O,null,,,,,,,,
Datenschutz USB Stick,USB Stick,Padlock,reflective,The lock promoting the concept of safeguarding data as one would protect physical possessions.,vision,USB stick's structure is like a padlock,shape,,,,,,,,
Mary Biscuit Box,Biscuit Box,Biscuit,behavioral,The biscut box give a scent like biscut can give user a tasty smell,smell,the box smells like a biscuit,null,,,,,,,,
Garlic Press,garlic press,garlic,visceral,"The garlic press is designed to visually resemble a garlic bulb, evoks a contextually intuitive connection between the product and its purpose",vision,The garlic press structure has a relation with the shape of a garlic bulb,structure,,,,,,,,
Kastor Pencil Sharpener,pencil sharpener,beaver,behavioral,The beaver gnawing on wood functions like a pencil sharpener sharpening a pencil,vision,The pencil sharpener looks like a beaver,interaction,,,,,,,,
Homo Sapiens,kitchen tool,potato,visceral,The shape of a cut potato evokes a sense of familiarity and natural simplicity in the user's culinary experience.,vision,The kitchen tool looks like a cut potato,texture & color,,,,,,,,
Neck Tie Flash Drive,Tie,USB stick,reflective,Office workers always need to use USB sticks right away,vision,Tie and USB stick are combined for quick and easy data sharing in a business environment,structure & form & metarial,,,,,,,,
Hanger Chair,Folding Chair,Hanger,behavioral,hang clothes on the back of chairs interacts like hang clothes on hangers,usage,fold and hang the chairs in the closet interacts like hang the hanger in the clothset,form & color,,,,,,,,
Whistling Bird Teakettle,Teakettle,Bird,behavioral,Bird whistles when happy interacts like the teakettle whistles when the water boils,vision,a bird-shape figure addes on the teakettle whistles,form,,,,,,,,
Teo Tea Strainer,Tea Strainer,Human,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,Tea strainer looks like a human holding a tea strainer,color & function,,,,,,,,
Sapper Kettle,Kettle,Steamboat,behavioral,both steamboat and Kettle signal readiness with sound,usage,Kettle's whistle functions like a steamboat's whistle,form & material,,,,,,,,
null,Chair,Animal,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,Chair looks like an animal cautiously extending its foot,form & movement,,,,,,,,
Death Star Popcorn Maker,Popcorn Maker,Death Star,behavioral,Both  Death Star and Popcorn maker harness powerful energy,vision,Popcorn maker looks like the Death Star,texture & style,,,,,,,,
Set Table Lamp,Table Lamp,Screw,behavioral,adjusting  Lamp brightens or dims interacts like adjusting a screw tightens or loosens,usage,adjusting  Lamp brightens or dims interacts like adjusting a screw tightens or loosens,form & texture,,,,,,,,
Sweetheart Nutcracker,Nutcracker,Crocodile,behavioral,Both crocodile and Nutcracker closes the mouth forcefully,vision,Nutcracker's serrated jaws look like a crocodile's teeth,form & structure,,,,,,,,
Oliver Oil Taster,Oil Pourer,Olive,visceral,"The olive oil dispenser is shaped like an olive, evokes a sense of natural authenticity",vision,The oil pourer looks like an olive,color & size & structure,,,,,,,,
Pino Funnel,Funnel,Pinocchio,visceral,"Pinocchio's long nose looks like the funnel's spout extends, evokes afunny cooking experience",vision,The funnel's spout looks like Pinocchio's nose,color & graphics,,,,,,,,
Nut Splitter,Nut Opener,Maple Seed,reflective,Maple seed symbolizes breaking open functions like the Nut Splitter opens nuts,vision,Nut Splitter looks like a maple seed,structure & size,,,,,,,,
